"","nonViolent","Violent","medInc","pUnPov","notHSG","unem","meanFam","tPar","unmarry","foren","raceM","buget","age1","age2","age3","age4","divo","nevMa","dens","pubTran","workM","af","ca","as","hi","medRent","largeHH","urban","sq","logunem","logunmarry","logmedInc","logforen","logden","logaf","loghi","logmedRent","loglargeHH","logurban","logpubTran","crpubTran","ctPar","cnotHSG"
"1",2024,391,17852,28.68,31.62,8.39,3.11,61.65,4.71,4.63,184,298,19.88,34.55,21.62,13.12,11.07,38.49,1319.3,0.76,69.23,23.14,67.6,0.92,16.35,281,6.7,100,19.7737199332852,2.12704052047911,1.54968790802833,9.78987082574916,1.53255686809814,7.18485657188973,3.14156272176553,2.79422789734326,5.63835466933375,1.90210752639692,4.60616968632117,-0.27443684570176,0.912580527077393,234314.542125,31614.447528
"2",1877,350,19143,27.71,34.5,11.05,3.26,58.65,8.51,0.71,15,240,16.51,28.17,14.68,13.38,10.92,30.7,1301.5,0.93,70.59,53.52,45.65,0.49,0.43,219,7.86,100,18.7082869338697,2.40243042796376,2.14124194258528,9.85969239253646,-0.342490308946776,7.17127272443462,3.98005541581997,-0.843970070294529,5.3890717298165,2.06178660644112,4.60616968632117,-0.0725706928348354,0.976100007668508,201745.589625,41063.625
"3",1073,1096,34372,14.37,22.83,6.95,3.22,77.1,2.62,45.19,230,54,12.04,26.68,12.37,11.54,8.68,34.45,5677.3,4.15,59.33,1.3,74.02,14.14,20.96,626,6.98,100,33.1058907144937,1.9387416595767,0.963174317773006,10.4449975584331,3.81087582342319,8.64423104658689,0.262364264467491,3.04261585945284,6.4393503711001,1.94304891677428,4.60616968632117,1.42310833424261,1.6070005752935,458314.011,11899.199187
"4",1656,1718,35048,8.21,12.19,4.99,3.14,78.19,1.89,7.64,267,248,14.18,32.78,15.14,4.58,10.73,30.21,2716.3,0.14,71.53,8.41,82.64,3.92,8.91,382,4.07,100,41.4487635521254,1.60743590976343,0.636576829071551,10.4644738294937,2.03339760317843,7.90702593913247,2.12942147398486,2.18717424148272,5.94542060860658,1.4036429994545,4.60616968632117,-1.96611285637283,0.51924941018511,478028.334259,1811.386459
"5",1654,642,29823,19.29,31.68,8.98,3.27,57.64,10.5,28.45,60,188,13.06,27.46,13.09,11.62,9.13,41,22878.2,54.33,56.42,28.71,52.26,7,24.36,448,9.16,100,25.3377189186399,2.19499988231411,2.35137525716348,10.3030351868803,3.34814816057234,10.0379397710703,3.35724549413297,3.1929424428417,6.10479323241498,2.21484617868604,4.60616968632117,3.99507656056343,3.78744703604225,191501.383744,31794.757632
"6",1618,1614,18395,37.29,51.16,11.24,4.16,75.51,2.8,24.37,264,217,19.93,33.12,16.79,7.32,6.18,32.64,3608.7,3.55,52.73,0.12,70.83,0.38,93.87,245,21.34,100,40.1746188532013,2.41947884446554,1.02961941718116,9.81983416753888,3.19335286763712,8.19110287566814,-2.12026353620009,4.5419108463489,5.50125821054473,3.06058324587361,4.60616968632117,1.26694760348732,1.5254903019003,430539.905151,133903.400896
"7",1683,1,21962,26.67,37.61,14.4,3.34,46.61,12.73,2.31,102,183,16.56,32.21,16.08,7.82,15.75,42.09,3434.7,0.9,59.61,42.2,51.25,1.36,8.01,362,9.52,100,1,2.66722820658195,2.54396141256932,9.99706896615766,0.837247524533702,8.14168486459788,3.74242022104197,2.08069076108027,5.89164421182577,2.25339484880327,4.60616968632117,-0.105360515657826,0.96548938460563,101259.856781,53199.800081
"8",1881,59,54348,6.6,10.57,3.8,2.87,75.73,1.04,34.82,294,223,11.38,22.12,10.53,17.88,8.33,32.58,5437.2,4.31,55.66,1.7,91.28,5.46,5.4,902,4.05,100,7.68114574786861,1.33500106673234,0.0392207131532813,10.9031630933442,3.55019193434004,8.60101950146109,0.53062825106217,1.68639895357023,6.80461452006262,1.39871688111845,4.60616968632117,1.46093790411566,1.62739292422903,434314.041517,1180.932193
"9",1947,1954,24819,19.09,26.84,9.92,3.13,62.64,6,2.78,300,75,14.78,28.65,14.52,12.25,11.86,34.15,3988.5,3,66.3,19.7,76.96,1.05,3.97,286,5.59,100,44.2040722106007,2.29455292129678,1.79175946922805,10.1193647678583,1.02245092770255,8.29117049935118,2.98061863574394,1.3787660946991,5.65599181081985,1.72097928716701,4.60616968632117,1.09861228866811,1.44224957030741,245784.927744,19335.149504
"10",1417,205,24603,20.27,35.69,9.62,3.26,53.45,11.53,6.61,89,165,13.92,28.02,14.12,13.74,10.62,42.11,11326,29.31,62.23,39.86,53.52,2.74,5.63,358,8.48,100,14.3178210632764,2.26384426467762,2.44495233428097,10.1106236657045,1.88858365386359,9.33485624667375,3.68537331478465,1.7281094421516,5.8805329864007,2.13771044980381,4.60616968632117,3.3779287547228,3.08322538377037,152701.438625,45461.069009
"11",1202,1696,23726,16.45,30.52,5.97,2.98,64,5.88,1.68,105,291,17.79,29.84,18.19,14.33,9.43,34.52,1290.5,3.33,72.3,26.41,72.45,0.76,0.72,272,3.95,100,41.182520563948,1.78674692740451,1.77155676191054,10.074326772221,0.518793793415168,7.16278501915867,3.27374272630904,-0.328504066972036,5.605802066296,1.37371557891303,4.60616968632117,1.20297230399235,1.49330348225477,262144,28428.476608
"12",1657,478,19923,20.8,29.21,7.11,2.88,62.09,4.81,1.98,160,325,16.31,32.25,18.75,13.77,12.18,37,2063.3,1.93,65.69,15.78,82.73,1.04,0.67,261,3.15,100,21.8632111090754,1.96150224381515,1.57069708411767,9.89963012220882,0.683096844706444,7.63206192179118,2.75874331541773,-0.400477566597125,5.56452040732269,1.14740245283754,4.60616968632117,0.657520002916794,1.24504706735388,239367.387329,24922.675961
"13",2110,1945,21748,20.16,21.39,8.12,3.1,65.86,4.29,10.71,311,9,15.91,31.47,16.94,11.34,11.94,36.79,2503.8,4.29,68.39,4.28,75.25,2.2,29.25,327,6.32,99.98,44.1021541423999,2.09433015417359,1.45628673293993,9.98727707826581,2.37117788445966,7.82556485682556,1.45395300959371,3.37587957367787,5.78996017089725,1.84371920815877,4.60596986615866,1.45628673293993,1.62487178475566,285670.358056,9786.611619
"14",2087,536,25592,14.53,17.1,6.16,2.96,66.43,3.97,7.68,213,76,11.86,25.57,12.29,12.83,14.55,35.03,3386.2,11.41,70.4,7.67,84.64,5.3,3.17,340,5,100,23.1516738055805,1.81807677754543,1.3787660946991,10.1500350816294,2.03861954715958,8.12746362769413,2.03731661537916,1.15373158788919,5.82894561761021,1.6094379124341,4.60616968632117,2.43449016387398,2.25127499753094,293151.929707,5000.211
"15",1448,1525,47204,5.15,12.38,3.95,3.04,79.26,1.37,22.17,110,152,11.6,25.37,11.61,10.78,9.77,32.32,6260.9,1.53,66.06,1.45,72.98,21.86,10.07,740,4.13,100,39.0512483795333,1.37371557891303,0.314810739840034,10.7622339137456,3.09874002362822,8.74207922372828,0.371563556432483,2.30956070673047,6.60665018619822,1.41827740697294,4.60616968632117,0.425267735404344,1.15229535251109,497923.018776,1897.413272
"16",49,657,25811,21.29,28.97,9.25,3.16,45.44,15.07,8.15,51,122,17.06,34.55,19.17,10.81,10.37,50.43,6679.9,9.54,60.14,36.14,53.85,2.41,13.22,487,7.07,100,25.6320112359526,2.22462355152433,2.7127060126384,10.1585560366347,2.09801792725277,8.80685829635876,3.58740028516408,2.58173083442354,6.18826412308259,1.95586047990848,4.60616968632117,2.2554934854602,2.12088013769675,93824.221184,24313.388273
"17",94,585,23453,22.32,14.48,5.56,2.93,61.16,7.88,4.5,168,88,23.68,42.67,28.84,7.94,9.32,48.87,1903.4,2.82,78.45,29.09,68.24,1.75,3,353,3.55,100,24.1867732448956,1.71559810826249,2.06432790386979,10.0627536974616,1.50407739677627,7.55139703963824,3.37039447250711,1.09861228866811,5.8664680569333,1.26694760348732,4.60616968632117,1.03673688495002,1.41280764437412,228771.768896,3036.027392
"18",1924,361,21407,20.87,31.67,8.74,3.06,62.98,5,1.09,152,276,16.05,28.26,15.37,13.59,12.56,30.85,3485.1,1.06,65.42,17.38,81.61,0.51,0.65,247,4.94,100,19,2.16791018966744,1.6094379124341,9.97147325032722,0.0861776962410524,8.15625201718754,2.85532011983725,-0.430782916092454,5.50938833662798,1.59736533119983,4.60616968632117,0.0582689081239758,1.01961282242222,249808.935592,31764.658463
"19",1764,755,30925,18.86,33,8.34,3.48,65.54,9.32,38.35,199,107,14.46,31.22,15.72,8.96,9.92,43.23,7168.1,10.92,60.83,13.99,52.83,9.81,39.92,544,14.44,100,27.4772633280682,2.12106321637066,2.2321626286975,10.3393201972607,3.64675452781327,8.87739590545031,2.63834278867739,3.68687745144326,6.29894924685594,2.67000213346468,4.60616968632117,2.39059597031676,2.21857550039393,281526.519464,35937
"20",1878,1742,22192,17.34,16.79,8.12,2.94,63.8,3,3.95,279,305,13.38,26.71,13.31,14.25,13.7,30.89,3058.9,4.41,65.71,1.93,93.28,2.08,2.08,278,4.16,100,41.7372735094184,2.09433015417359,1.09861228866811,10.0074871425546,1.37371557891303,8.02581065319485,0.657520002916794,0.732367893713227,5.62762111369064,1.42551507427317,4.60616968632117,1.48387468945875,1.63988299780007,259694.072,4733.169839
"21",1318,1,33344,16.08,6.08,3.81,2.94,75.87,2.58,10.9,231,340,23.19,43.75,28.97,6.29,5.81,54.22,4085,5.7,72.82,9.04,81.98,7.69,2.58,529,3.19,100,1,1.33762918913861,0.947789398933526,10.414633125113,2.3887627892351,8.3150770072941,2.20165917440409,0.947789398933526,6.2709884318583,1.16002091679675,4.60616968632117,1.7404661748405,1.78631598770806,436727.211003,224.755712
"22",1199,1842,25655,18.18,49.46,10.87,3.29,59.81,8.03,55.09,305,191,13.67,29.54,14.16,9.09,11.58,37.55,44229.9,27.8,60.06,5.11,74.68,2.09,75.62,451,8.4,100,42.9185274677499,2.38600670113312,2.08318452795867,10.1524937633761,4.00896821148462,10.6971563099509,1.63119940421561,4.32572079846279,6.11146733950268,2.12823170584927,4.60616968632117,3.32503602069659,3.02934171527249,213954.491141,120993.582536
"23",17,1,20176,30.58,30.71,18.29,3.17,42.57,12.65,1.62,94,48,15.83,29.26,14.58,9.58,15.31,39.75,4015.8,2.43,57.44,47.94,49.58,0.49,2.85,300,6.9,100,1,2.90635446240277,2.53765721517353,9.9122490582047,0.482426149244293,8.29799185933465,3.86995022900624,1.04731899428056,5.7037824746562,1.93152141160321,4.60616968632117,0.887891257352457,1.34442142396715,77145.562593,28962.726911
"24",1896,365,28289,21.96,34,8.85,3.25,50.14,12.96,16.76,48,144,29.2,49.87,35.94,8.48,7.62,61.76,7709.4,12.35,73.06,29.58,57.37,3.96,19.33,569,10.59,100,19.1049731745428,2.18041745901984,2.56186769092413,10.2502283154913,2.81899509505394,8.95019564251749,3.38709845728265,2.96165829322024,6.34388043412633,2.35991015961332,4.60616968632117,2.51365606307399,2.31147385687909,126052.942744,39304
"25",105,982,22772,19.44,29.37,6.54,3.01,58.62,7.25,7.96,251,153,13,27.51,13.44,13.15,15.01,34.1,2487.1,3.3,70.03,25.05,70.9,1.35,15,334,5.15,100,31.3368792319848,1.87793716546911,1.98100146886658,10.033286990071,2.07442899985629,7.81887265208229,3.22087382753087,2.70805020110221,5.8111409929767,1.63899671467564,4.60616968632117,1.19392246847243,1.48880555295383,201436.163928,25334.470953
"26",2033,499,27489,17.97,26.55,7.43,3.24,63.68,7.28,12.5,65,115,13.17,31.03,14.35,8.72,13.17,37.01,2838.4,6.68,67.59,29.5,55.3,2.18,20.88,375,9.13,100,22.3383079036887,2.00552585872967,1.98513086220859,10.2215412036333,2.52572864430826,7.95099579211526,3.38439026334577,3.03879176301444,5.92692602597041,2.21156569460688,4.60616968632117,1.89911798754855,1.88332593691894,258231.468032,18715.161375
"27",1814,130,22112,19.41,41.57,8.63,3.1,55.5,8.86,4.29,115,19,13.96,28.24,14.44,15,12.3,35.98,7732.5,7.29,64.73,9.71,78.64,1.42,18.48,292,6.74,100,11.4017542509914,2.15524450509534,2.18154676461699,10.0038757265674,1.45628673293993,8.95318750455922,2.27315628230323,2.91668906621354,5.67675380226828,1.90805992492422,4.60616968632117,1.98650354602057,1.9389912210287,170953.875,71835.657893
"28",1999,983,32165,16.1,23.31,9.43,3.22,54.71,7.61,15.57,85,139,13.22,26.57,12.67,10.49,13.3,36.25,2838.8,13.14,67.87,43.76,36.18,11.83,14.52,506,8.56,100,31.3528308131818,2.24389609664537,2.02946317187359,10.3786341838451,2.74534598584591,7.95113670665083,3.77872015811373,2.67552700939665,6.22653666928747,2.14710019015365,4.60616968632117,2.57566101305646,2.35974525642565,163757.102111,12665.630691
